项目,取值
对比模型网格点数_z,351
对比模型网格点数_x,1701
对比模型间距_m,10
实验2扩大计算域参考解启用,是
实验2每侧扩展网格点数,100
实验2参考解PML层数,30
实验2参考解快照时刻_s,1.65
实验2参考解网格点数_z,551
实验2参考解网格点数_x,1901
实验2波场偏离定义,"相对裁剪后的扩大计算域PML参考解的相对 L2 范数（辅助诊断，非论文""误差""）"
实验3细网格参考解启用,否
实验3参考解目标间距_m,未提供
实验3对比模型间距_m,10
实验3参考解快照时刻_s,0.65 0.95 1.25
实验3参考解实际间距_m,未提供
实验3参考解网格点数_z,未提供
实验3参考解网格点数_x,未提供
实验3参考解时间步长_s,未提供
实验3参考解时间步数,未提供
实验3参考解PML层数,未提供
实验3参考解来源,未提供
实验3原始数据间距_m,未提供
实验3波场偏离定义,"相对NaNm细网格参考解的相对 L2 范数（最小二乘幅值因子校正后），仅作辅助诊断，非论文""误差"""
高波数能量占比定义,径向波数大于0.55倍奈奎斯特波数的谱能量占总谱能量比例
参考解空间间隔_m,未提供
参考解时间步长_s,未提供
参考解PML层数,未提供
参考解网格规模,N/A
参考解是否重采样至粗网格,是（空间上按最近邻下采样到主模型 nz × nx，时间上按最近时间步对齐）
波场偏离统计区域是否排除PML,否（仅裁剪到原物理域 nz × nx，未额外扣除 PML 厚度）
比较分量,vz
高波数阈值,0.55 × Nyquist
相对L2波场偏离是否进行最小二乘幅值校正,"是，先估计 alpha = <u, uref> / <uref, uref>，再计算 ||u - alpha uref||_2 / ||alpha uref||_2"
